iso_code;continent;location;last_updated_date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;population;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
TUV;Oceania;Tuvalu;18.01.2023;2805;0;0;;;;247463,608;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373,067;;;;3575,104;03.sty;;27,25;;;;;67,57;;11335;;;;
UGA;Africa;Uganda;18.01.2023;170279;0;0;3630;0;0;3603,82;0;0;76,826;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;213,759;16.sty;2,168;1,308;1697,707;41,6;213,333;02.sty;03.sty;16.sty;21,222;0,5;63,37;0,544;47249588;;;;
UKR;Europe;Ukraine;18.01.2023;5672948;36;469,857;118861;0;10,143;142889,139;0,907;11,835;2993,848;0;0,255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,39;41,4;16,462;11,133;7894,393;0,1;539,849;07.sty;13.sty;47,4;;08.sty;72,06;0,779;39701744;;;;
ARE;Asia;United Arab Emirates;18.01.2023;1048275;57;83;2348;0;0;111032,695;6,037;8,791;248,699;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112,442;34;1,144;0,526;67293,483;;317,84;17,26;01.sty;37,4;;01.sty;77,97;0,89;9441138;;;;
GBR;Europe;United Kingdom;18.01.2023;24243393;33262;4751,714;214878;0;0;359113,836;492,705;70,386;3182,956;0;0;;;;11557;171,192;;;;;;;;;;;;;;;;;;;;;;;;;;;;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;sty.00;20;24.sty;;sty.00;81,32;0,932;67508936;;;;
USA;North America;United States;18.01.2023;101858338;127694;44702,143;1102286;1574;486,571;301097,819;377,469;132,142;3258,407;4,653;1,438;;4444;13,137;34159;100,976;;;36378;107,535;;;;;;;;;;666511603;268556888;229359062;;19435;131718;200,75;80,89;69,08;;397;18420;0,006;;35,608;38,3;15,413;9,732;54225,446;01.sty;151,089;sty.00;19.sty;24.sty;;sty.00;78,86;0,926;338289856;;;;
OWID_UMC;;Upper middle income;18.01.2023;143774951;33397;33838,714;2517701;337;242,857;56919,806;13,222;13,397;996,746;0,133;0,096;;;;;;;;;;;;;;;;;;;5394080282;2106406339;1987326562;1248648363;1718058;1231853;213,55;83,39;78,68;49,43;488;138379;0,005;;;;;;;;;;;;;;;;2525921300;;;;
URY;South America;Uruguay;18.01.2023;1029564;3754;536,286;7597;11;1,571;300796,191;1096,764;156,681;2219,53;3,214;0,459;;;;;;;;;;;;;;;;;;;8866654;3005007;2897256;2964391;6769;10978;259,05;87,79;84,65;86,61;3207;58;0,002;;19,751;35,6;14,655;10,361;20551,409;0,1;160,708;sty.00;14;19.sty;;02.sty;77,91;0,817;3422796;;;;
UZB;Asia;Uzbekistan;18.01.2023;250307;34;29,286;1637;0;0;7228,53;0,982;0,846;47,274;0;0;;;;;;;;;;;;;;;;;;;73472066;21542014;17867908;15050190;;56574;212,18;62,21;51,6;43,46;1634;9222;0,027;;76,134;28.sty;4,469;2,873;6253,104;;724,417;sty.00;01.sty;24.sty;;4;71,72;0,72;34627648;;;;
VUT;Oceania;Vanuatu;18.01.2023;12014;0;0;14;0;0;36768,847;0;0;42,847;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,662;23.sty;4,394;sty.00;2921,909;13.sty;546,3;12.sty;02.sty;34,5;25,209;;70,47;0,609;326744;;;;
VAT;Europe;Vatican;18.01.2023;29;0;0;;;;35891,089;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75,12;;808;;;;
VEN;South America;Venezuela;18.01.2023;551062;38;37,143;5837;0;0,429;19470,986;1,343;1,312;206,242;0;0,015;;;;;;;;;;;;;;;;;;;;;14966671;;;;;;52,88;;;;;;36,253;29;6,614;3,915;16745,022;;204,85;sty.00;;;;0,8;72,06;0,711;28301700;;;;
VNM;Asia;Vietnam;18.01.2023;11526254;41;44;43186;0;0;117391,008;0,418;0,448;439,835;0;0;;;;;;;;;;;;;;;;;;;265536860;90450881;85848363;57452750;;14307;270,44;92,12;87,43;58,51;146;1673;0,002;;308,127;32,6;sty.00;4,718;6171,884;2;245,465;6;1;45,9;85,847;02.sty;75,4;0,704;98186856;;;;
OWID_WLS;Europe;Wales;10.01.2023;;;;;;;;;;;;;;16;5,047;604;190,536;;;101;31,861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3170000;;;;
WLF;Oceania;Wallis and Futuna;18.01.2023;3427;0;0;7;0;0;295532,942;0;0;603,656;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79,94;;11596;;;;
OWID_WRL;;World;18.01.2023;667815950;376674;323253,571;6729568;3065;2005,571;83737,574;47,231;40,533;843,822;0,384;0,251;;;;;;;;;;;;;;;;;;;13222772118;5522740400;5069997858;2705928666;2309047;2074135;165,8;69,25;63,57;33,93;260;215955;0,003;;58,045;30.sty;8,696;5,355;15469,207;10;233,07;sty.00;6,434;34,635;60,13;2,705;72,58;0,737;7975105024;;;;
YEM;Asia;Yemen;18.01.2023;11945;0;0;2159;0;0;354,487;0;0;64,072;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,508;20.sty;2,922;1,583;1479,147;18.sty;495,003;sty.00;07.sty;29,2;49,542;0,7;66,12;0,47;33696612;;;;
ZMB;Africa;Zambia;18.01.2023;338090;310;251,571;4037;0;0,857;16889,578;15,486;12,567;201,672;0;0,043;;;;;;;;;;;;;;;;;;;12673375;;8638051;;;1967;63,31;;43,15;;98;;;;22,995;17.sty;sty.00;1,542;3689,251;57,5;234,499;sty.00;03.sty;24.sty;13,938;2;63,89;0,584;20017670;;;;
ZWE;Africa;Zimbabwe;18.01.2023;259981;0;0;5637;0;0;15929,682;0;0;345,393;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,729;19.sty;2,822;1,882;1899,775;21.sty;307,846;sty.00;01.sty;30.sty;36,791;01.sty;61,49;0,571;16320539;;;;
