iso_code;continent;location;last_updated_date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;population;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
JOR;Asia;Jordan;18.01.2023;1746997;0;0;14122;0;0;154794,998;0;0;1251,299;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109,285;23.sty;sty.00;2,361;8337,49;0,1;208,257;sty.00;;;;01.sty;74,53;0,729;11285875;;;;
KAZ;Asia;Kazakhstan;18.01.2023;1495766;70;1065,714;19064;0;0,286;77109,298;3,609;54,939;982,782;0;0,015;;;;;;;;;;;;;;;;;;;;10858101;10629063;;;;;55,98;54,79;;;210;0,001;;6,681;30.sty;6,991;4,625;24055,588;0,1;466,792;07.sty;7;43,1;98,999;06.sty;73,6;0,825;19397998;;;;
KEN;Africa;Kenya;18.01.2023;342747;20;15,429;5688;0;0;6343,938;0,37;0,286;105,28;0;0;;;;;;;;;;;;;;;;;;;23132128;14242625;10864421;1782416;;3266;42,82;26,36;20.sty;03.sty;60;1365;0,003;;87,324;20;2,686;1,528;2993,028;36,8;218,637;sty.00;01.sty;20.sty;24,651;01.sty;66,7;0,601;54027484;;;;
KIR;Oceania;Kiribati;18.01.2023;4921;0;0;17;0;0;37497,047;0;0;129,537;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143,701;23.sty;3,895;sty.00;1981,132;;434,657;22,66;35,9;58,9;;01.sty;68,37;0,63;131237;;;;
OWID_KOS;Europe;Kosovo;18.01.2023;272429;17;10,286;3202;0;0;152868,361;9,539;5,772;1796,742;0;0;;;;;;;;;;;;;;;;;;;1837225;906747;825008;105470;1;10;103,09;50,88;46,29;sty.00;6;5;0;;168,155;;;;9795,834;0,6;;;;;;;;;1782115;;;;
KWT;Asia;Kuwait;18.01.2023;662858;111;15,857;2570;0;0;155276,576;26,002;3,715;602,031;0;0;;;;;;;;;;;;;;;;;;;8256588;3455437;3343924;1457227;;48;193,41;80,94;78,33;34,14;11;25;0,001;;232,128;33,7;2,345;1,114;65530,537;;132,235;15,84;02.sty;37;;2;75,49;0,806;4268886;;;;
KGZ;Asia;Kyrgyzstan;18.01.2023;206588;0;0,286;2991;0;0;31156,659;0;0,043;451,089;0;0;;;;;;;;;;;;;;;;;;;3389320;1641755;1364584;;1601;1344;51,12;24,76;20,58;;203;322;0,005;;32,333;26.sty;4,489;2,882;3393,474;01.sty;436,362;07.sty;03.sty;50,5;89,22;04.sty;71,45;0,697;6630621;;;;
LAO;Asia;Laos;18.01.2023;217935;1;2,857;758;0;0;28944,241;0,133;0,379;100,671;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,715;24.sty;4,029;2,322;6397,36;22.sty;368,111;4;07.sty;51,2;49,839;01.sty;67,92;0,613;7529477;;;;
LVA;Europe;Latvia;18.01.2023;975035;28;34,571;6203;3;2,143;526859,694;15,13;18,681;3351,788;1,621;1,158;;7;3,782;;;15;7,923;161;87,153;;;;;;;;;;;;;;;;;;;;;;;;31,212;43,9;19,754;14,136;25063,846;0,7;350,06;sty.00;25.sty;51;;sty.00;75,29;0,866;1850654;;;;
LBN;Asia;Lebanon;18.01.2023;1225904;269;201,286;10767;3;1,429;223308,045;49;36,666;1961,294;0,546;0,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594,561;31.sty;8,514;sty.00;13367,565;;266,591;sty.00;26.sty;40,7;;02.sty;78,93;0,744;5489744;;;;
LSO;Africa;Lesotho;18.01.2023;34790;0;0;723;0;0;15087,869;0;0;313,554;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73,562;22.sty;4,506;2,647;2851,153;59,6;405,126;sty.00;0,4;53,9;2,117;;54,33;0,527;2305826;;;;
LBR;Africa;Liberia;18.01.2023;8043;0;0;294;0;0;1516,777;0;0;55,444;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,127;19.sty;3,057;1,756;752,788;38,6;272,509;sty.00;01.sty;18.sty;1,188;0,8;64,1;0,48;5302690;;;;
LBY;Africa;Libya;18.01.2023;507158;0;0,571;6437;0;0;74446,916;0;0,084;944,902;0;0;;;;;;;;;;;;;;;;;;;3739158;2316327;1236102;186729;;218;54,89;34;18,15;sty.00;32;72;0,001;;3,623;29;4,424;2,816;17881,509;;341,862;sty.00;;;;03.sty;72,91;0,724;6812344;;;;
LIE;Europe;Liechtenstein;18.01.2023;21329;0;0;88;0;0;541964,172;0;0;2236,056;0;0;;;;;;;;0;0;;;;;;;;;;74246;26763;26458;22017;;5;188,66;68;67,23;55,94;127;0;0;;237,012;;;;;;;sty.00;;;;2,397;82,49;0,919;39355;;;;
LTU;Europe;Lithuania;18.01.2023;1293405;305;235,143;9521;3;2,857;470319,171;110,907;85,505;3462,109;1,091;1,039;;;;94;34,181;;;;;;;;;;;;;;4542057;1956584;1879997;943687;106;129;165,16;71,15;68,36;34,32;47;12;0;;45,135;43,5;19,002;13,778;29524,265;0,7;342,989;sty.00;21.sty;38;;sty.00;75,93;0,882;2750058;;;;
OWID_LIC;;Low income;18.01.2023;2275328;420;426,429;47822;4;3,143;3084,752;0,569;0,578;64,834;0,005;0,004;;;;;;;;;;;;;;;;;;;264742887;191910241;160304445;14103268;10816;10846;35,89;26.sty;21,73;sty.00;15;8144;0,001;;;;;;;;;;;;;;;;737604900;;;;
OWID_LMC;;Lower middle income;18.01.2023;97064464;1472;3328,429;1344645;32;43,857;28281,385;0,429;0,97;391,785;0,009;0,013;;;;;;;;;;;;;;;;;;;4780081236;2227557381;1988565891;626243127;152063;469986;139,28;64,9;57,94;18,25;137;57114;0,002;;;;;;;;;;;;;;;;3432097300;;;;
LUX;Europe;Luxembourg;18.01.2023;314142;66;48;1202;1;0,429;485085,724;101,915;74,12;1856,081;1,544;0,662;;0;0;14;21,618;1;1,575;13;20,481;;;;;;;;;;1372599;481911;462609;457271;58;100;211,95;74,41;71,43;70,61;154;1;0;;231,447;39,7;14,312;9,842;94277,965;0,2;128,275;sty.00;20.sty;26;;sty.00;82,25;0,916;647601;;;;
MAC;Asia;Macao;18.01.2023;3445;6;23,286;114;1;4,429;4955,551;8,631;33,496;163,986;1,438;sty.00;;;;;;;;;;;;;;;;;;;1791888;677696;639505;474687;;671;257,76;97,48;91,99;68,28;965;128;0,018;;20546,766;39,2;9,798;4,991;104861,851;;;;;;;;84,24;;695180;;;;
MDG;Africa;Madagascar;18.01.2023;67788;0;4;1418;0;0;2289,229;0;0,135;47,886;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43,951;19.sty;2,929;1,686;1416,44;77,6;405,994;sty.00;;;50,54;0,2;67,04;0,528;29611718;;;;
MWI;Africa;Malawi;18.01.2023;88446;164;32,286;2686;0;0,143;4334,458;8,037;1,582;131,632;0;0,007;;;;;;;;;;;;;;;;;;;6876517;4932472;3927293;1832738;;24236;33,7;24,17;19,25;sty.00;1188;16449;0,081;;197,519;18.sty;2,979;1,783;1095,042;71,4;227,349;sty.00;04.sty;24.sty;8,704;01.sty;64,26;0,483;20405318;;;;
MYS;Asia;Malaysia;18.01.2023;5033625;371;311,714;36923;4;3,143;148317,313;10,932;9,185;1087,948;0,118;0,093;;16;0,471;200;5,893;;;377;11,108;;;;;;;;;;72475960;28124472;27535919;17033725;7411;8323;213,55;82,87;81,14;50,19;245;162;0;;96,254;29.sty;6,293;3,407;26808,164;0,1;260,942;16,74;1;42,4;;01.sty;76,16;0,81;33938216;;;;
MDV;Asia;Maldives;18.01.2023;185708;0;0,857;311;0;0;354541,254;0;1,636;593,74;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1454,433;30.sty;04.sty;2,875;15183,616;;164,905;sty.00;02.sty;55;95,803;;78,92;0,74;523798;;;;
MLI;Africa;Mali;18.01.2023;32772;0;0;743;0;0;1450,499;0;0;32,885;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,196;16.sty;2,519;1,486;2014,306;;268,024;sty.00;01.sty;23;52,232;0,1;59,31;0,434;22593598;;;;
MLT;Europe;Malta;18.01.2023;116882;18;21,714;822;0;0;219170,325;33,753;40,717;1541,367;0;0;;1;1,875;;;;;17;31,002;;;;;;;;;;1378731;478617;471367;463128;19;91;258,53;89,75;88,39;86,84;171;3;0,001;;1454,037;42,4;19,426;11,324;36513,323;0,2;168,711;sty.00;20.sty;30,2;;4,485;82,53;0,895;533293;;;;
MHL;Oceania;Marshall Islands;18.01.2023;15554;0;0;17;0;0;373957,156;0;0;408,723;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;295,15;;;;3819,202;;557,793;30,53;;;82,502;02.sty;73,7;0,704;41593;;;;
MRT;Africa;Mauritania;18.01.2023;63664;229;33,571;997;0;0;13442,153;48,352;7,088;210,509;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,289;20.sty;3,138;1,792;3597,633;6;232,347;sty.00;;;15,95;;64,92;0,546;4736146;;;;
MUS;Africa;Mauritius;18.01.2023;293386;0;0;1042;0;0;225772,195;0;0;801,86;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;622,962;37,4;10,945;5,884;20292,745;0,5;224,644;22.sty;03.sty;40,7;;03.sty;74,99;0,804;1299478;;;;
MEX;North America;Mexico;18.01.2023;7315454;563;4421,714;331605;10;38,857;57374,256;4,416;34,679;2600,739;0,078;0,305;;;;;;;;;;;;;;;;;;;225063079;99071001;82652919;57026630;;0;176,51;77,7;64,82;44,73;0;0;0;;66,444;29.sty;6,857;4,321;17336,469;02.sty;152,783;13.sty;06.sty;21.sty;87,847;sty.00;75,05;0,779;127504120;;;;
FSM;Oceania;Micronesia (country);18.01.2023;22247;0;0;58;0;0;194844,891;0;0;507,979;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150,777;23;sty.00;2,392;3299,464;16;454,343;12.sty;;;;;67,88;0,62;114178;;;;
MDA;Europe;Moldova;18.01.2023;597598;382;54,571;11947;0;1;182584,564;116,713;16,673;3650,176;0;0,306;;;;;;;;;;;;;;;;;;;2274620;1105617;1075068;395356;;240;69,5;33,78;32,85;12.sty;73;33;0,001;;123,655;37,6;10,864;6,955;5189,972;0,2;408,502;sty.00;05.sty;44,6;86,979;05.sty;71,9;0,75;3272993;;;;
MCO;Europe;Monaco;18.01.2023;16040;5;4;65;0;0;439560,44;137,02;109,616;1781,261;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19347,5;;;;;;;sty.00;;;;13.sty;86,75;;36491;;;;
MNG;Asia;Mongolia;18.01.2023;1007843;6;6,143;2136;0;0;296566,327;1,766;1,808;628,536;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sty.00;28.sty;4,031;2,421;11840,846;0,5;460,043;sty.00;05.sty;46,5;71,18;7;69,87;0,737;3398373;;;;
MNE;Europe;Montenegro;18.01.2023;285773;63;64,429;2794;0;0,143;455718,71;100,465;102,743;4455,558;0;0,228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,28;39,1;14,762;9,395;16409,288;1;387,305;10.sty;44;47,9;;3,861;76,88;0,829;627082;;;;
MSR;North America;Montserrat;18.01.2023;1403;0;0;8;0;0;317924,315;0;0;1812,826;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74,16;;4413;;;;
MAR;Africa;Morocco;18.01.2023;1272116;26;19,286;16296;0;0,143;33961,152;0,694;0,515;435,048;0;0,004;;;;;;;;;;;;;;;;;;;55367864;25016749;23517738;6871804;;397;147,81;66,79;62,78;18,35;11;63;0;;80,08;29.sty;6,769;4,209;7485,013;1;419,146;sty.00;0,8;47,1;;01.sty;76,68;0,686;37457976;;;;
MOZ;Africa;Mozambique;18.01.2023;231404;185;26,429;2232;0;0;7018,725;5,611;0,802;67,699;0;0;;;;;;;;;;;;;;;;;;;29140427;18640008;18454569;1007597;;0;88,39;56,54;55,97;03.sty;0;2796;0,008;;37,728;17.sty;3,158;sty.00;1136,103;62,9;329,942;03.sty;05.sty;29.sty;12,227;0,7;60,85;0,456;32969520;;;;
MMR;Asia;Myanmar;18.01.2023;633777;14;6,714;19490;0;0;11697,768;0,258;0,124;359,731;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,721;29.sty;5,732;03.sty;5591,597;06.sty;202,104;sty.00;06.sty;35,2;79,287;0,9;67,13;0,583;54179312;;;;
NAM;Africa;Namibia;18.01.2023;170496;0;18,143;4083;0;0,143;66417,766;0;7,068;1590,558;0;0,056;;;;;;;;;;;;;;;;;;;975554;604799;528051;104999;;95;38;23,56;20,57;04.sty;37;73;0,003;;3,078;22;3,552;2,085;9541,808;13.sty;243,811;sty.00;09.sty;34,2;44,6;;63,71;0,646;2567024;;;;
NRU;Oceania;Nauru;18.01.2023;4621;0;0;1;0;0;364116,303;0;0;78,796;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;682,45;;;;12895,635;;;24.sty;43;36,9;;5;59,96;;12691;;;;
NPL;Asia;Nepal;18.01.2023;1001068;9;5;12020;0;0;32770,773;0,295;0,164;393,484;0;0;;;;;;;;;;;;;;;;;;;60789000;27678479;24159118;8951403;;27556;199;90,61;79,09;29.sty;902;6454;0,021;;204,43;25;5,809;3,212;2442,804;15;260,797;sty.00;09.sty;37,8;47,782;0,3;70,78;0,602;30547586;;;;
NLD;Europe;Netherlands;18.01.2023;8589689;5;328,857;23079;0;0;489050,286;0,285;18,723;1313,993;0;0;;39;sty.00;574;32,68;29;1,651;587;33,421;;;;;;;;;;;;;;;;;;;;;;;;508,544;43,2;18,779;11,881;48472,545;;109,361;sty.00;24.sty;27.sty;;sty.00;82,28;0,944;17564020;;;;
NCL;Oceania;New Caledonia;18.01.2023;79921;61;8,714;314;0;0;275628,623;210,375;30,054;1082,912;0;0;;;;;;;;;;;;;;;;;;;478524;192213;184656;101655;;33;165,03;66,29;63,68;35,06;114;1;0;;15,342;33,4;9,954;6,489;;;;23,36;;;;;77,55;;289959;;;;
NZL;Oceania;New Zealand;18.01.2023;2158656;2;2744;2437;44;6,286;416303,894;0,386;529,189;469,983;8,486;1,212;;;;;;;;;;;;;;;;;;;11962926;4300097;4138926;3523903;1388;911;230,71;82,93;79,82;67,96;176;30;0,001;;18,206;37,9;15,322;sty.00;36085,843;;128,797;08.sty;14.sty;17.sty;;sty.00;82,29;0,931;5185289;;;;
NIC;North America;Nicaragua;18.01.2023;15541;34;4,857;245;0;0;2236,632;4,893;0,699;35,26;0;0;;;;;;;;;;;;;;;;;;;12144072;6182972;5961100;;;2364;174,78;88,98;85,79;;340;1105;0,016;;51,667;27.sty;5,445;3,519;5321,444;03.sty;137,016;sty.00;;;;0,9;74,48;0,66;6948395;;;;
NER;Africa;Niger;18.01.2023;9506;0;4,714;315;0;0;362,714;0;0,18;12,019;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,955;15.sty;2,553;1,378;926;44,5;238,339;sty.00;0,1;15.sty;8,978;0,3;62,42;0,394;26207982;;;;
NGA;Africa;Nigeria;18.01.2023;266463;0;0;3155;0;0;1219,28;0;0;14,437;0;0;;;;;;;;;;;;;;;;;;;108052995;76507342;63966056;9755313;;205727;49,44;35,01;29,27;sty.00;941;148319;0,068;;209,588;18.sty;2,751;1,447;5338,454;;181,013;sty.00;0,6;10.sty;41,949;;54,69;0,539;218541216;;;;
OWID_NAM;;North America;18.01.2023;120467468;135961;52956,714;1562949;1636;577,571;200670,866;226,479;88,214;2603,511;2,725;0,962;;;;;;;;;;;;;;;;;;;1135517663;457952622;393343416;247430432;95923;64979;189,15;76,28;65,52;41,22;108;8861;0,001;;;;;;;;;;;;;;;;600323657;;;;
PRK;Asia;North Korea;18.01.2023;1;0;0;6;0;0;0,038;0;0;0,23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211,701;35,3;9,491;6,139;;;321,681;4;;;;13.sty;72,27;;26069416;;;;
MKD;Europe;North Macedonia;18.01.2023;346297;202;28,857;9633;10;1,429;165406,958;96,484;13,783;4601,152;4,776;0,682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82,6;39,1;13,26;sty.00;13111,214;5;322,688;10.sty;;;;sty.00;75,8;0,774;2093606;;;;
OWID_CYN;Asia;Northern Cyprus;18.01.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;861519;301673;313067;;;0;225,04;78,8;81,78;;0;0;0;;;;;;;;;;;;;;;;382836;;;;
OWID_NIR;Europe;Northern Ireland;11.01.2023;;;;;;;;;;;;;;;;441;232,595;;;171;90,19;;;;;;;;;;4474138;1429812;1360007;1045741;894;587;235,98;75,41;71,73;55,16;310;11;0,001;;;;;;;;;;;;;;;;1896000;;;;
NOR;Europe;Norway;18.01.2023;1477205;77;76,857;4963;104;14,857;271828,658;14,169;14,143;913,269;19,138;2,734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,462;39,7;16,821;10,813;64800,057;0,2;114,316;sty.00;19.sty;20.sty;;03.sty;82,4;0,957;5434324;;;;
OWID_OCE;;Oceania;18.01.2023;13815103;63;7764,429;22984;0;49,571;306737,404;1,399;172,394;510,315;0;1,101;;;;;;;;;;;;;;;;;;;80728081;28915884;27874553;23896611;3346;3352;179,24;64,2;61,89;53,06;74;110;0;;;;;;;;;;;;;;;;45038860;;;;
OMN;Asia;Oman;18.01.2023;399154;0;0;4628;0;0;87221,992;0;0;1011,297;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,98;30.sty;2,355;sty.00;37960,709;;266,342;sty.00;0,5;15.sty;97,4;01.sty;77,86;0,813;4576300;;;;
PAK;Asia;Pakistan;18.01.2023;1576126;17;15,571;30640;0;0,143;6683,46;0,072;0,066;129,927;0;0,001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255,573;23.sty;4,495;sty.00;5034,708;4;423,031;sty.00;02.sty;36,7;59,607;0,6;67,27;0,557;235824864;;;;
PLW;Oceania;Palau;18.01.2023;5980;0;0,571;9;0;0;330679,053;0;31,599;497,678;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,237;;;;13240,405;;;15,89;07.sty;22.sty;;04.sty;73,7;0,826;18084;;;;
PSE;Asia;Palestine;18.01.2023;703228;0;0;5708;0;0;133946,251;0;0;1087,222;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;778,202;20.sty;3,043;1,726;4449,898;1;265,91;sty.00;;;;;74,05;0,708;5250076;;;;
PAN;North America;Panama;18.01.2023;1028272;1025;346,857;8589;0;0,714;233243,251;232,501;78,678;1948,245;0;0,162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55,133;29.sty;7,918;05.sty;22267,037;02.sty;128,346;sty.00;02.sty;09.sty;;02.sty;78,51;0,815;4408582;;;;
PNG;Oceania;Papua New Guinea;18.01.2023;46663;0;0;669;0;0;4600,683;0;0;65,959;0;0;;;;;;;;;;;;;;;;;;;713099;369998;310717;32384;;93;07.sty;sty.00;03.sty;0,32;9;0;0;;18,22;22.sty;3,808;2,142;3823,194;;561,494;17,65;23.sty;48,8;;;64,5;0,555;10142625;;;;
PRY;South America;Paraguay;18.01.2023;800163;1932;276;19746;30;4,286;118005,175;284,924;40,703;2912,069;4,424;0,632;;;;;;;;;;;;;;;;;;;9524376;3981399;3537084;2005893;10109;2666;140,46;58,72;52,16;29,58;393;399;0,006;;17,144;26.sty;6,378;3,833;8827,01;01.sty;199,128;sty.00;5;21.sty;79,602;01.sty;74,25;0,728;6780745;;;;
PER;South America;Peru;18.01.2023;4477064;941;762,571;218580;26;17,857;131486,584;27,636;22,396;6419,461;0,764;0,524;;;;;;;;;;;;;;;;;;;86875116;30239711;28455004;28180401;4030;8496;255,14;88,81;83,57;82,76;250;1289;0,004;;25,129;29.sty;7,151;4,455;12236,706;03.sty;85,755;sty.00;04.sty;;;01.sty;76,74;0,777;34049588;;;;
PHL;Asia;Philippines;18.01.2023;4071013;338;315,857;65637;19;18,286;35228,868;2,925;2,733;567,996;0,164;0,158;;;;;;;;;;;;;;;;;;;169838560;78369243;73937435;21341197;;8366;146,97;67,82;63,98;18,47;72;1373;0,001;;351,873;25.sty;4,803;2,661;7599,188;;370,437;07.sty;07.sty;40,8;78,463;1;71,23;0,718;115559008;;;;
POL;Europe;Poland;18.01.2023;6374257;377;288,714;118666;6;7,286;159927,59;9,459;7,244;2977,283;0,151;0,183;;;;;;;;;;;;;;;;;;;57846063;22860281;22633314;15233545;2265;3200;145,13;57,36;56,79;38,22;80;300;0,001;;124,027;41,8;16,763;10,202;27216,445;;227,331;sty.00;23.sty;33,1;;sty.00;78,73;0,88;39857144;;;;
PRT;Europe;Portugal;18.01.2023;5557941;0;0;25805;0;0;541137,025;0;0;2512,449;0;0;;;;;;;;;;;;;;;;;;;28016722;9775784;8889549;7035338;;3126;272,78;95,18;86,55;68,5;304;50;0;;112,371;46,2;21,502;14,924;27936,896;0,5;127,842;sty.00;16.sty;30;;sty.00;82,05;0,864;10270857;;;;
QAT;Asia;Qatar;18.01.2023;491721;77;94,143;685;0;0;182447,903;28,57;34,931;254,162;0;0;;;;;;;;;;;;;;;;;;;7603722;2850786;2850786;1902150;;157;282,13;105,78;105,78;70,58;58;42;0,002;;227,322;31,9;1,307;0,617;116935,6;;176,69;16,52;0,8;26.sty;;01.sty;80,23;0,848;2695131;;;;
ROU;Europe;Romania;18.01.2023;3319680;3488;498,286;67504;44;6,286;168860,797;177,423;25,346;3433,698;2,238;0,32;;113;5,748;1157;58,853;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,129;43;17,85;sty.00;23313,199;05.sty;370,946;sty.00;22.sty;37,1;;6,892;76,05;0,828;19659270;;;;
RUS;Europe;Russia;18.01.2023;21561796;5442;4733,429;386588;46;43,571;148996,631;37,605;32,709;2671,406;0,318;0,301;;;;;;;;5193;35,885;;;;;;;;;;184226161;87805023;79038657;19621275;313402;47420;127,3;60,68;54,62;13,56;328;18742;0,013;;8,823;39,6;14,178;9,393;24765,954;0,1;431,297;sty.00;23.sty;58,3;;08.sty;72,58;0,824;144713312;;;;
RWA;Africa;Rwanda;18.01.2023;133078;0;2,143;1468;0;0;9659,641;0;0,156;106,557;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;494,869;20.sty;2,974;1,642;1854,211;56;191,375;sty.00;04.sty;21;4,617;;69,02;0,543;13776702;;;;
SHN;Africa;Saint Helena;18.01.2023;2166;0;0;;;;401036,845;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80,56;;5401;;;;
KNA;North America;Saint Kitts and Nevis;18.01.2023;6584;3;1,429;46;0;0;138084,352;62,918;29,961;964,745;0;0;;;;;;;;;;;;;;;;;;;64297;33794;27000;3503;;0;134,85;70,88;56,63;sty.00;0;0;0;;212,865;;;;24654,385;;;sty.00;;;;02.sty;76,23;0,779;47681;;;;
LCA;North America;Saint Lucia;18.01.2023;29761;2;0,286;409;0;0;165456,547;11,119;1,588;2273,839;0;0;;;;;;;;;;;;;;;;;;;122977;60140;54971;7866;;0;68,37;33,43;30,56;sty.00;0;0;0;;293,187;34,9;9,721;6,405;12951,839;;204,62;sty.00;;;87,202;01.sty;76,2;0,759;179872;;;;
SPM;North America;Saint Pierre and Miquelon;18.01.2023;3368;0;2,714;2;0;0;572302,464;0;461,221;339,847;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,07;;5885;;;;
VCT;North America;Saint Vincent and the Grenadines;18.01.2023;9572;9;1,286;123;2;0,286;92074,76;86,573;12,368;1183,159;19,238;2,748;;;;;;;;;;;;;;;;;;;73301;37471;31588;4242;;9;70,51;36,04;30,39;04.sty;87;4;0,004;;281,787;31.sty;7,724;4,832;10727,146;;252,675;sty.00;;;;02.sty;72,53;0,738;103959;;;;
WSM;Oceania;Samoa;18.01.2023;16008;0;0;29;0;0;71981,654;0;0;130,402;0;0;;;;;;;;;;;;;;;;;;;449439;191163;177721;79360;;10;202,09;85,96;79,91;35,69;45;1;0;;69,413;22;5,606;3,564;6021,557;;348,977;sty.00;16.sty;38,1;;;73,32;0,715;222390;;;;
SMR;Europe;San Marino;18.01.2023;23370;0;11,429;122;0;0,143;693677,649;0;339,227;3621,253;0;sty.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556,667;;;;56861,47;;;sty.00;;;;03.sty;84,97;;33690;;;;
STP;Africa;Sao Tome and Principe;18.01.2023;6279;0;0;77;0;0;27612,987;0;0;338,621;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212,841;18.sty;2,886;2,162;3052,714;32,3;270,113;sty.00;;;41,34;02.sty;70,39;0,625;227393;;;;
SAU;Asia;Saudi Arabia;18.01.2023;827488;35;26,143;9549;3;1,714;22727,677;0,961;0,718;262,272;0,082;0,047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,322;31,9;3,295;1,845;49045,411;;259,538;17,72;01.sty;25.sty;;02.sty;75,13;0,854;36408824;;;;
OWID_SCT;Europe;Scotland;09.01.2023;;;;;;;;;;;;;;14;2,561;1275;233,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5466000;;;;
SEN;Africa;Senegal;18.01.2023;88900;0;0;1968;0;0;5133,846;0;0;113,649;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82,328;18.sty;3,008;1,796;2470,58;38;241,219;sty.00;0,4;16.sty;20,859;;67,94;0,512;17316452;;;;
SRB;Europe;Serbia;18.01.2023;2462353;963;865,714;17630;8;7,571;358340,414;140,143;125,985;2565,652;1,164;1,102;;16;2,328;295;42,931;;;;;;;;;;;;;;;;;;;;;;;;;;;;80,291;41,2;17,366;;14048,881;;439,415;10.sty;37,7;40,2;97,719;5,609;76;0,806;6871547;;;;
SYC;Africa;Seychelles;18.01.2023;50355;0;0;172;0;0;470014,468;0;0;1605,451;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208,354;36,2;8,606;5,586;26382,287;01.sty;242,648;sty.00;07.sty;35,7;;03.sty;73,4;0,796;107135;;;;
SLE;Africa;Sierra Leone;18.01.2023;7760;0;0;126;0;0;901,726;0;0;14,641;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,7;19.sty;2,538;1,285;1390,3;52,2;325,721;sty.00;08.sty;41,3;19,275;;54,7;0,452;8605723;;;;
